latency_ms,ttft_ms,tbt_mean_ms,tbt_p95_ms,tokens,cv,p95_ms,power_W,max_new_tokens,temperature,throttle_ms,step,model,task,power_W_mean,energy_Wh,carbon_g,policy_type,model_task_combination
1210.5853230590506,181.58779845885758,20.99994948163659,25.199939377963908,50,0.0,1210.5853230590506,10.173941434089368,50,0.2,0,0,DeepSeek-R1-Distill-Qwen-1.5B,NLU,10.173941434089368,0.0034212289382697055,0.0015395530222213675,baseline,DeepSeek-R1-Distill-Qwen-1.5B_NLU
1301.5031631934353,195.22547447901528,22.57709568804939,27.09251482565927,50,0.036192132813766945,1301.5031631934353,17.477073302817065,50,0.2,0,1,DeepSeek-R1-Distill-Qwen-1.5B,NLU,17.477073302817065,0.0063184628297166525,0.002843308273372494,baseline,DeepSeek-R1-Distill-Qwen-1.5B_NLU
1510.0168515680405,226.50252773520606,26.194169874139476,31.43300384896737,50,0.093492389244916,1510.0168515680405,15.138204872214324,50,0.2,0,2,DeepSeek-R1-Distill-Qwen-1.5B,NLU,15.138204872214324,0.006349706794314735,0.0028573680574416308,baseline,DeepSeek-R1-Distill-Qwen-1.5B_NLU
1322.8363201225238,198.42544801837857,22.94716065518664,27.536592786223967,50,0.0814434439593943,1322.8363201225238,12.721229797943675,50,0.2,0,3,DeepSeek-R1-Distill-Qwen-1.5B,NLU,12.721229797943675,0.004674473559262446,0.002103513101668101,baseline,DeepSeek-R1-Distill-Qwen-1.5B_NLU
1463.0781257577044,219.46171886365565,25.379926671307114,30.455912005568536,50,0.0806166789466573,1500.6291064059733,17.151592410180868,50,0.2,0,4,DeepSeek-R1-Distill-Qwen-1.5B,NLU,17.151592410180868,0.006970588799235414,0.003136764959655936,baseline,DeepSeek-R1-Distill-Qwen-1.5B_NLU
1744.6666780842575,261.7000017126386,30.264626048400384,36.31755125808046,50,0.1223588424763421,1686.0042214552032,13.051505219556104,50,0.2,0,5,DeepSeek-R1-Distill-Qwen-1.5B,NLU,13.051505219556104,0.006325146182056193,0.002846315781925287,baseline,DeepSeek-R1-Distill-Qwen-1.5B_NLU
1551.2388953559855,232.68583430339783,26.90924614393036,32.291095372716434,50,0.11595389679291919,1686.6383432657758,11.499809430491592,50,0.2,0,6,DeepSeek-R1-Distill-Qwen-1.5B,NLU,11.499809430491592,0.0049552643549333674,0.0022298689597200156,baseline,DeepSeek-R1-Distill-Qwen-1.5B_NLU
1435.8394204164981,215.37591306247472,24.90741851742905,29.888902220914858,50,0.10855007769864547,1676.9669541293622,16.368736074986618,50,0.2,0,7,DeepSeek-R1-Distill-Qwen-1.5B,NLU,16.368736074986618,0.00652857681079428,0.0029378595648574257,baseline,DeepSeek-R1-Distill-Qwen-1.5B_NLU
1277.4202759647128,191.61304139470693,22.15933131775522,26.591197581306265,50,0.10987248459960854,1667.2955649929486,9.473567305691194,50,0.2,0,8,DeepSeek-R1-Distill-Qwen-1.5B,NLU,9.473567305691194,0.003361590822779535,0.0015127158702507907,baseline,DeepSeek-R1-Distill-Qwen-1.5B_NLU
1733.4828390161438,260.0224258524216,30.07062067681066,36.08474481217279,50,0.12031497987974889,1739.6339505036062,9.782046438738924,50,0.2,0,9,DeepSeek-R1-Distill-Qwen-1.5B,NLU,9.782046438738924,0.004710280453336919,0.0021196262040016137,baseline,DeepSeek-R1-Distill-Qwen-1.5B_NLU
