model,task,policy_type,latency_ms_mean,latency_ms_std,latency_ms_p50,latency_ms_p95,latency_ms_cv,ttft_ms_mean,ttft_ms_std,ttft_ms_p50,ttft_ms_p95,ttft_ms_cv,tbt_mean_ms_mean,tbt_mean_ms_std,tbt_mean_ms_p50,tbt_mean_ms_p95,tbt_mean_ms_cv,energy_Wh_mean,energy_Wh_std,energy_Wh_p50,energy_Wh_p95,energy_Wh_cv,carbon_g_mean,carbon_g_std,carbon_g_p50,carbon_g_p95,carbon_g_cv,stability_score,policy_effectiveness
EXAONE-3.5-2.4B-Instruct,Summarization,baseline,1643.3566454998904,165.6117098296826,1620.062620525125,1903.6380373147756,0.10077648712663063,246.50349682498359,24.841756474452396,243.00939307876877,285.54570559721634,0.10077648712663065,28.50720711581443,2.8728561909230663,28.10312709074197,33.02229248403182,0.10077648712663063,0.007796234251319581,0.0013661012826240743,0.007889512718578164,0.009799587229109116,0.17522578703851155,0.0035083054130938124,0.0006147455771808334,0.0035502807233601737,0.004409814253099102,0.17522578703851147,0.783697662807283,
EXAONE-3.5-2.4B-Instruct,Summarization,saip,1112.6057938759507,144.2269027398814,1087.7115472709902,1367.3139934906358,0.12962983253704133,166.89086908139257,21.63403541098221,163.15673209064855,205.09709902359535,0.12962983253704136,44.169075985079644,6.845257947093662,44.88003404063125,53.369076365089484,0.15497851821500627,0.0051415443049004665,0.0012247373288135864,0.004957674622963355,0.007111604819662185,0.2382041768357952,0.00231369493720521,0.0005511317979661139,0.0022309535803335095,0.0032002221688479833,0.2382041768357952,0.7310828603088385,0.3739452159971318
gemma-2b-it,NLU,baseline,1378.9573589253678,141.20390879607638,1376.6618898285947,1634.9052972781542,0.10239903930467995,206.8436038388051,21.180586319411457,206.4992834742892,245.23579459172313,0.10239903930467997,23.920688879317606,2.4494555607482638,23.88086951743481,28.36060209564145,0.10239903930467993,0.005584207691941753,0.0011265553809334163,0.005515787320827549,0.007448640114443452,0.20173952028308031,0.002512893461373789,0.0005069499214200374,0.002482104294372397,0.0033518880514995532,0.20173952028308031,0.7667896886018778,
gemma-2b-it,NLU,saip,839.0361260108456,309.2491412685466,717.3103604598704,1399.2839606156795,0.36857666992106275,125.85541890162688,46.38737119028199,107.59655406898055,209.8925940923519,0.3685766699210626,24.342136885366152,2.9417003045998458,24.15311494410325,29.06114944373626,0.12084807173885864,0.0032545286812637043,0.0012950565576109936,0.0029095209879892274,0.0058944316025116555,0.3979244567935824,0.001464537906568667,0.0005827754509249471,0.0013092844445951523,0.0026524942211302452,0.39792445679358235,0.566090779607828,0.3045434174933414
gemma-2b-it,QA,baseline,1620.3106939173842,151.81987868447885,1607.0133827517645,1849.6574449466696,0.09369800449654983,243.04660408760756,22.772981802671826,241.05200741276468,277.4486167420004,0.09369800449654986,28.10743040468931,2.6336101404450414,27.876762762020405,32.08589445315651,0.09369800449654986,0.00667805477266356,0.0013540215521736574,0.006761743697890723,0.009010093099636497,0.2027568802993813,0.0030051246476986014,0.0006093096984781459,0.003042784664050826,0.004054541894836424,0.20275688029938135,0.7713342066333494,
gemma-2b-it,QA,saip,896.7692508038593,265.63678801669784,833.4953507786702,1588.0447178014183,0.29621531712710086,134.5153876205789,39.84551820250468,125.02430261680053,238.20670767021275,0.29621531712710086,33.51098725446382,4.993824995316585,33.839298939645545,41.96719734669409,0.14902052742869829,0.003668636451887584,0.0013583870628568976,0.0033385423380367066,0.006760899630548923,0.37027028452437183,0.001650886403349413,0.0006112741782856039,0.001502344052116518,0.003042404833747015,0.3702702845243718,0.6000651904876998,0.29809251749075594
gemma-2b-it,Summarization,baseline,1999.3618549187422,178.2881748213949,2013.1689028767612,2294.053750167294,0.08917253991956392,299.9042782378113,26.743226223209234,301.97533543151417,344.1080625250941,0.08917253991956392,34.68280768736594,3.0927540530241973,34.92231770296422,39.794809951881625,0.08917253991956392,0.008118662953918769,0.0016596630572325442,0.007862626430178536,0.011021874839363835,0.20442566302514717,0.003653398329263446,0.0007468483757546449,0.0035381818935803413,0.004959843677713726,0.20442566302514717,0.7730375612177164,
gemma-2b-it,Summarization,saip,893.3939780843627,207.17353463882566,872.1769203373304,1174.4788330137676,0.2318949307035315,134.0090967126544,31.076030195823844,130.82653805059957,176.17182495206515,0.23189493070353148,36.32713887205183,4.704311118576199,36.60149402844014,43.21021000782694,0.1294985309783217,0.0036095699150268386,0.0010928590211422837,0.003438028744116031,0.005145967763583461,0.30276710158533054,0.0016243064617620776,0.0004917865595140277,0.001547112934852214,0.002315685493612557,0.3027671015853305,0.6516092657277487,0.37331130977422644
Llama-3.2-3B-Instruct,NLU,baseline,2221.2332212300716,252.85067118710046,2227.330899069736,2587.440511545987,0.11383346366802363,333.18498318451077,37.92760067806506,334.09963486046036,388.1160767318981,0.1138334636680236,38.53159669480737,4.386185112429294,38.6373727389648,44.884172139063054,0.11383346366802362,0.07528750322330528,0.01466957538207323,0.07438919849552215,0.10298217930434841,0.19484741496291585,0.03387937645048737,0.006601308921932955,0.03347513932298497,0.04634198068695679,0.19484741496291594,0.7641282273843092,
Llama-3.2-3B-Instruct,NLU,saip,923.1787524644383,200.76206894452218,900.9627323164261,1089.0585618749194,0.21746825130949463,138.47681286966576,30.11431034167833,135.14440984746392,163.3587842812379,0.2174682513094946,42.80924790391371,6.493880149280894,42.27465748810606,54.616002959774356,0.15169339493785433,0.030494467185001803,0.007949792897763599,0.030535110533717033,0.03851107543980816,0.26069623874830555,0.013722510233250811,0.00357740680399362,0.013740799740172666,0.01732998394791367,0.26069623874830555,0.6765146955741694,0.39318029189331777
Llama-3.2-3B-Instruct,QA,baseline,2285.3323401728603,201.2621167656561,2296.341851636269,2641.4826143481223,0.08806689216607892,342.799851025929,30.189317514848412,344.45127774544034,396.22239215221833,0.08806689216607894,39.64352018667207,3.491281617363422,39.83450150797609,45.821637187671506,0.08806689216607892,0.07689254940463994,0.01498745049691049,0.07542915531515382,0.09999907201222448,0.19491420967251868,0.03460164723208797,0.006744352723609721,0.03394311989181922,0.04499958240550101,0.19491420967251868,0.7794347076250251,
Llama-3.2-3B-Instruct,QA,saip,933.7228241119759,220.8115590754669,922.4265606392937,1157.114464130812,0.2364851253212873,140.0584236167964,33.12173386132003,138.36398409589404,173.5671696196218,0.2364851253212872,42.65734697569197,4.217190054632363,42.303469039753004,49.777420990729205,0.09886198635455466,0.030068940042586045,0.008464563456401107,0.027464460047729664,0.04549028444441459,0.28150521582779153,0.013531023019163722,0.0038090535553804983,0.012359007021478352,0.020470627999986564,0.2815052158277915,0.6587657199735714,0.37491939956787523
Llama-3.2-3B-Instruct,Summarization,baseline,2568.164763520415,276.24377739309443,2543.6956957332523,3054.111195248504,0.10756466302980584,385.2247145280622,41.43656660896416,381.5543543599879,458.1166792872756,0.10756466302980586,44.54979691821127,4.79198389355368,44.125333497413564,52.979479917576086,0.10756466302980588,0.08581174740084452,0.018444969965971513,0.08790808946664742,0.11628140222692837,0.21494691023842252,0.038615286330380034,0.00830023648468718,0.03955864025999134,0.05232663100211776,0.2149469102384225,0.7561370503010203,
Llama-3.2-3B-Instruct,Summarization,saip,2636.3860937034765,273.39588789236785,2612.258143426522,3066.96139335042,0.1037010051544892,395.45791405552137,41.00938318385517,391.83872151397827,460.04420900256304,0.10370100515448921,146.73058522822174,22.761384403116654,148.02796146083625,173.7944789565238,0.15512365310691062,0.08726960818806484,0.016992201435679193,0.08823679505188205,0.11594649476120612,0.19470926693129212,0.03927132368462918,0.0076464906460556375,0.03970655777334692,0.052175922642542755,0.19470926693129215,0.7701725883557502,0.22278118627003554
Midm-2.0-Mini-Instruct,NLU,baseline,1404.2294308414423,140.73362476144888,1411.9605312155759,1636.2418124389533,0.10022124709145178,210.6344146262164,21.11004371421733,211.79407968233636,245.436271865843,0.10022124709145173,24.359081963576042,2.4412975723924806,24.493192888433455,28.383786542308375,0.10022124709145176,0.006780806287943594,0.0012699783990905455,0.006934425413814527,0.00888133722678386,0.1872901754100529,0.0030513628295746166,0.0005714902795907455,0.0031204914362165373,0.003996601752052738,0.18729017541005297,0.7766921384333049,
Midm-2.0-Mini-Instruct,NLU,saip,632.2211201370393,169.70523789455322,584.6946056912152,1122.79838838254,0.2684270304949132,94.83316802055587,25.45578568418298,87.70419085368229,168.41975825738098,0.26842703049491323,25.37026490162501,3.0818328335520833,25.539649784384405,29.798671907239317,0.12147420791631885,0.003044835566337603,0.0008430128193810686,0.002885194708217978,0.0046396503441715,0.27686645173915364,0.001370176004851922,0.00037935576872148095,0.00129833761869809,0.0020878426548771745,0.27686645173915364,0.6471262653319916,0.3713862001945081
Midm-2.0-Mini-Instruct,QA,baseline,1643.2647575512542,160.93589149402936,1634.8155688784816,1930.6926899931996,0.09793667803954574,246.4897136326882,24.1403837241044,245.22233533177223,289.60390349897995,0.09793667803954569,28.505613141195237,2.791745056529081,28.359045582585907,33.49160788763714,0.09793667803954571,0.007785473149053603,0.0015955591681887829,0.007591490507669172,0.010165389313621718,0.20494055244192036,0.003503462917074122,0.0007180016256849522,0.003416170728451127,0.004574425191129773,0.2049405524419203,0.7675320257384953,
