model,task,policy_type,latency_ms_mean,latency_ms_std,latency_ms_p50,latency_ms_p95,latency_ms_cv,ttft_ms_mean,ttft_ms_std,ttft_ms_p50,ttft_ms_p95,ttft_ms_cv,tbt_mean_ms_mean,tbt_mean_ms_std,tbt_mean_ms_p50,tbt_mean_ms_p95,tbt_mean_ms_cv,energy_Wh_mean,energy_Wh_std,energy_Wh_p50,energy_Wh_p95,energy_Wh_cv,carbon_g_mean,carbon_g_std,carbon_g_p50,carbon_g_p95,carbon_g_cv,stability_score,policy_effectiveness
Qwen2.5-1.5B-Instruct,NLU,baseline,1381.4487148146727,145.83367165505317,1368.612192999366,1648.3223955253595,0.10556575143986968,207.2173072222009,21.875050748257973,205.29182894990493,247.24835932880393,0.10556575143986968,23.96390627739738,2.5297677736080653,23.74123191937676,28.59334767748073,0.10556575143986971,0.005013268997394388,0.0010548164345357863,0.004943163012646903,0.0065576012154851026,0.21040491445482376,0.002255971048827474,0.00047466739554110385,0.0022244233556911065,0.0029509205469682963,0.21040491445482382,0.7598953577890937,
Qwen2.5-1.5B-Instruct,NLU,saip,1307.16580736394,195.72665899614677,1337.5071240635307,1629.9040407511275,0.14973361290015194,196.0748711045909,29.35899884942201,200.62606860952963,244.48560611266913,0.149733612900152,21.98263540400007,2.5474564407284515,21.669666133031235,26.425543477211168,0.11588494254264452,0.004696402697008666,0.0010286153236453088,0.0047728290840519695,0.006526136751228706,0.21902195999940052,0.0021133812136539,0.000462876895640389,0.0021477730878233865,0.0029367615380529177,0.21902195999940052,0.7305906326880658,0.3307218352845393
Qwen2.5-1.5B-Instruct,QA,baseline,1425.9623371025957,138.58451872782493,1415.3601512718344,1655.075177367297,0.09718666133175297,213.89435056538943,20.787677809173736,212.30402269077516,248.26127660509454,0.09718666133175292,24.73608135790218,2.4040171616051267,24.552165889409373,28.710487770657192,0.09718666133175295,0.005043734737714742,0.0009722279232812189,0.005087064414201453,0.006577073852989836,0.1927595271835656,0.0022696806319716344,0.0004375025654765485,0.0022891789863906543,0.0029596832338454264,0.19275952718356554,0.7752261364878824,
Qwen2.5-1.5B-Instruct,QA,saip,943.4444405850096,323.66749637761313,835.7915675453423,1537.380140794516,0.3430700128742228,141.51666608775145,48.550124456641974,125.36873513180134,230.60702111917738,0.3430700128742228,26.101642158490833,3.292647768135654,26.02131344906727,30.797925070398684,0.12614714998169413,0.003455081006494231,0.0014117485491120364,0.0030664895065024757,0.006251062520774005,0.40860070905963974,0.001554786452922404,0.0006352868471004163,0.0013799202779261142,0.0028129781343483027,0.40860070905963963,0.5708835499037112,0.29343763310298915
Qwen2.5-1.5B-Instruct,Summarization,baseline,1567.3544798708142,160.9151600052221,1558.127497879052,1824.9352897653223,0.10266673051426452,235.10317198062205,24.137274000783307,233.71912468185778,273.7402934647983,0.10266673051426452,27.188802201840648,2.7913854286620157,27.02874231014682,31.657040740827018,0.10266673051426452,0.0054979193813991,0.0012276250754470646,0.005473420545070249,0.007600108032155146,0.22328902813679688,0.002474063721629595,0.0005524312839511791,0.002463039245281612,0.003420048614469816,0.2232890281367969,0.7541729755880641,
Qwen2.5-1.5B-Instruct,Summarization,saip,1489.3705824502758,201.150129392547,1504.789716113444,1817.6569836260514,0.13505713874220596,223.4055873675414,30.172519408882046,225.7184574170166,272.6485475439077,0.13505713874220593,26.754716839160768,3.9299387392222815,26.519572728462034,33.105314951105676,0.1468876969563007,0.005269577005100592,0.0013021374710125442,0.005104668829133458,0.007696495561678539,0.24710474289533366,0.0023713096522952667,0.000585961861955645,0.002297100973110056,0.003463423002755343,0.24710474289533368,0.7235042532175994,0.31267571654243587
Qwen2.5-3B-Instruct,NLU,baseline,2284.794965964647,212.57654812733418,2249.37388132068,2622.3153479853227,0.09303966057960206,342.71924489469694,31.88648221910012,337.406082198102,393.3473021977984,0.09303966057960206,39.63419838918266,3.6875523654741635,39.01975100250159,45.48914379158213,0.09303966057960202,0.011538268033470247,0.002219469009000589,0.011145430093058763,0.015126185048746969,0.19235720669361692,0.005192220615061611,0.000998761054050265,0.005015443541876443,0.006806783271936135,0.19235720669361692,0.7779698437583354,
Qwen2.5-3B-Instruct,NLU,saip,983.8308667725687,225.96312380863168,952.2002799876773,1275.187072326703,0.22967679856386064,147.57463001588528,33.89446857129476,142.83004199815161,191.27806084900544,0.22967679856386072,43.249590917614526,6.635525885661829,43.11401681597332,54.60173675208681,0.15342401499939592,0.004938953188560347,0.0012326666490115768,0.004804040199476909,0.007059344427309868,0.24958054914687014,0.0022225289348521567,0.0005546999920552094,0.002161818089764609,0.0031767049922894405,0.24958054914687006,0.6760148946007131,0.35743074779417033
Qwen2.5-3B-Instruct,QA,baseline,2339.083007384532,233.9755643584065,2339.7027177286463,2677.2672150787453,0.10002875640571154,350.8624511076799,35.09633465376098,350.95540765929695,401.5900822618118,0.10002875640571152,40.575929719935765,4.058759789890725,40.586679797333666,46.4423904656517,0.1000287564057115,0.012025986841199172,0.0023771010604213593,0.012111537735506137,0.016067311622999642,0.19766370043560821,0.005411694078539627,0.0010696954771896117,0.005450191980977763,0.00723029023034984,0.19766370043560821,0.7705986073418924,
Qwen2.5-3B-Instruct,QA,saip,961.3727117316672,212.21473582341932,947.182517702232,1154.779450956093,0.22074137661050178,144.20590675975006,31.832210373512897,142.07737765533477,173.21691764341392,0.2207413766105018,42.861558645916304,4.266047798393168,42.48399511262184,49.96428134354531,0.09953086012656288,0.004942724027771638,0.0013482966487194004,0.004812778860239751,0.0068258896368724765,0.2727841249367228,0.0022242258124972377,0.0006067334919237302,0.002165750487107888,0.0030716503365926144,0.27278412493672277,0.6695566958609314,0.3801662069032754
Qwen2.5-3B-Instruct,Summarization,baseline,2613.245375815429,294.2736913056748,2599.202031869484,3187.6297088072906,0.11260851890490788,391.98680637231433,44.141053695851205,389.88030478042253,478.1444563210936,0.11260851890490783,45.3318075396554,5.1047477063229305,45.088198512021656,55.29561739767749,0.11260851890490788,0.01337360143780375,0.0027111278992812027,0.013088446070822522,0.01780379547462331,0.2027223490912132,0.006018120647011689,0.0012200075546765412,0.005889800731870135,0.008011707963580491,0.20272234909121314,0.7602649830027018,
Qwen2.5-3B-Instruct,Summarization,saip,2625.5575872473114,252.29304390695432,2619.3211250804256,3022.545119086766,0.09609122463448366,393.83363808709686,37.84395658604315,392.89816876206385,453.38176786301494,0.09609122463448362,139.42001366095334,24.209344898228725,143.70745013410783,170.0658908645396,0.17364325438313247,0.013003442946022414,0.0026146524966866196,0.012896379763311691,0.01750430420739609,0.20107386232554728,0.005851549325710088,0.001176593623508979,0.005803370893490261,0.00787693689332824,0.20107386232554722,0.7709118986107993,0.22680486976842257
